Marker,Chr,Position
c1_29898,1,0
c1_28667,1,4.7
c1_28454,1,5
c1_26993,1,9.1
c1_25698,1,14.8
c1_24795,1,17.6
c1_23381,1,25.1
c1_22181,1,28.9
c1_20384,1,31.4
c1_18433,1,36.9
c1_16875,1,48.6
c1_15634,1,57.2
c1_13869,1,57.4
c1_12295,1,64.8
c1_11160,1,70.5
c1_09782,1,75.7
c1_08385,1,81.6
c1_05593,1,87
c1_04176,1,91.1
c1_02992,1,93.1
c1_02212,1,94
c1_00593,1,99.4
c2_00593,2,0
c2_02365,2,5.2
c2_04263,2,5.6
c2_05588,2,6.6
c2_06655,2,9.3
c2_07650,2,13
c2_10250,2,24.2
c2_11457,2,28.5
c2_12435,2,33.7
c2_13472,2,38.3
c2_15252,2,43.8
c2_16837,2,49.7
c2_17606,2,51.2
c2_18753,2,55.8
c3_00885,3,0
c3_01901,3,3.7
c3_02968,3,5.7
c3_04141,3,8
c3_05141,3,11.1
c3_06631,3,14.5
c3_08042,3,19.3
c3_09748,3,28.7
c3_10996,3,34.2
c3_12647,3,40.9
c3_14097,3,41.2
c3_15117,3,42
c3_16677,3,50
c3_18180,3,54.2
c3_20729,3,63.4
c3_22147,3,65.5
c4_00641,4,0
c4_02133,4,6.9
c4_03833,4,7
c4_04877,4,7.3
c4_05629,4,13.3
c4_06923,4,22.6
c4_07549,4,25.6
c4_07740,4,26.4
c4_08930,4,30.9
c4_10609,4,35.7
c4_11878,4,38.7
c4_13171,4,40.9
c4_14819,4,44.2
c4_15765,4,46.4
c4_17684,4,52.7
c5_00576,5,0
c5_01587,5,4.6
c5_02900,5,6.1
c5_04011,5,9.1
c5_05319,5,11.5
c5_06820,5,18.9
c5_07442,5,20.4
c5_08563,5,25.1
c5_10428,5,33.7
c5_12699,5,35.4
c5_13614,5,36.4
c5_14766,5,42
c5_17570,5,53.3
c5_19316,5,62.6
c5_20318,5,64.2
c5_21319,5,68.5
c5_22415,5,73.2
c5_23116,5,75.4
c5_24997,5,80.4
c5_26671,5,89.6
