Marker,Chr,Position
c1_00593,1,0
c1_02212,1,7.3
c1_02992,1,10.2
c1_04176,1,15.4
c1_05593,1,21.8
c1_08385,1,31.6
c1_09782,1,36.7
c1_11160,1,45
c1_12295,1,48.1
c1_13869,1,55.4
c1_16875,1,61.3
c1_18433,1,69.2
c1_19478,1,72
c1_20384,1,73.9
c1_23381,1,82.9
c1_24795,1,89.3
c1_25698,1,92.9
c1_26993,1,102.2
c1_28454,1,104.9
c1_28667,1,105.6
c1_29898,1,112.7
c2_00593,2,0
c2_02365,2,7.6
c2_03041,2,7.9
c2_05588,2,9.8
c2_06655,2,15
c2_07650,2,22.4
c2_10250,2,37.9
c2_11457,2,42.2
c2_12435,2,47.7
c2_15252,2,60.9
c2_16837,2,65.5
c2_17606,2,66.9
c2_18753,2,70.8
c3_00580,3,0
c3_02133,3,6
c3_04141,3,11.8
c3_05141,3,15.8
c3_06631,3,19.6
c3_08042,3,25.9
c3_09748,3,35
c3_12647,3,48.6
c3_14097,3,48.6
c3_15117,3,48.9
c3_16677,3,57.3
c3_18180,3,63.6
c3_20729,3,70.9
c3_22147,3,74.2
c4_00269,4,0
c4_00641,4,4.1
c4_02133,4,12.4
c4_03833,4,12.5
c4_04877,4,12.5
c4_05850,4,20.1
c4_06923,4,28.1
c4_07549,4,31.3
c4_07740,4,31.6
c4_08930,4,36.7
c4_10609,4,46
c4_11878,4,52.2
c4_13171,4,56.8
c4_14819,4,62.6
c4_15765,4,64.9
c4_17684,4,73.7
c5_00576,5,0
c5_01587,5,4.5
c5_02900,5,8.9
c5_04011,5,13.3
c5_05319,5,17.4
c5_06820,5,23.9
c5_07442,5,27.6
c5_08563,5,32.1
c5_10428,5,46.1
c5_12699,5,47.4
c5_13614,5,48.2
c5_14766,5,53
c5_16368,5,60.5
c5_17570,5,64.5
c5_19316,5,68.8
c5_20318,5,71.4
c5_21319,5,75.4
c5_22415,5,80.3
c5_23116,5,82.5
c5_24997,5,88.1
c5_26671,5,98.1
