Marker,Chr,Position_physical
MSAT100008,1,0.008639
T1G11,1,1.24325
F21M12,1,3.212191
IND4992,1,4.992444
IND6375,1,6.375557
MSAT1.10,1,7.296649
MSAT108193,1,8.192951
NGA248,1,9.887359
IND1136,1,11.362151
T27K12,1,15.926702
MSAT1.42,1,18.153083
NGA128,1,20.633251
IND2188,1,21.888056
dCAPsAPR2,1,22.979476
F5I14,1,24.374008
MSAT1.13,1,25.827433
MSAT127088,1,27.088847
MSAT1.5,1,29.016886
MSAT2.5,2,0.208178
MSAT200897,2,0.897197
MSAT2.38,2,2.457014
IND628,2,6.280231
MSAT2.36,2,8.685521
MSAT2.41,2,11.095452
CZSOD2,2,11.951653
MSAT2.7,2,13.192607
IND216199,2,16.19933
MSAT2.10,2,18.019832
MSAT2.22,2,19.632943
NGA172,3,0.786303
MSAT3.99,3,1.514825
ATHCHIB2,3,3.963391
MSAT305754,3,5.754608
MSAT3.19,3,8.808167
MSAT3.117,3,9.860185
MSAT3.32,3,11.208231
MSAT3.21,3,17.282665
MSAT318406,3,18.406066
MSAT3.65,3,19.83542
MSAT3.18,3,21.387949
MSAT3.70,3,23.449179
MSAT4.39,4,0.089498
MSAT4.8,4,0.40701
MSAT4.43,4,2.575724
NGA8,4,5.62881
MSAT4.35,4,7.549254
MSAT4.15,4,9.362588
CIW7,4,11.524362
MSAT4.18,4,11.966304
MSAT4.9,4,15.790523
MSAT4.68,4,17.261718
MSAT4.37,4,18.336495
MSAT500027,5,0.027394
NGA225,5,1.507104
NGA249,5,2.770217
NGA151,5,4.669932
MSAT5.14,5,7.498509
NGA139,5,8.428136
MSAT512110,5,12.109959
MSAT5.22,5,13.961058
MSAT5.59,5,15.461361
MSAT5.9,5,17.252309
MSAT518662,5,18.662765
MSAT520037,5,20.037472
MSAT5.12,5,21.424928
JV6162,5,22.527623
JV7576,5,23.879425
MSAT5.19,5,25.924795
K9I9,5,26.983961
