Marker,Chr,Position
c1_00593,1,0
c1_02992,1,8.1
c1_04176,1,10.7
c1_05593,1,13.4
c1_08385,1,25.7
c1_09621,1,29.2
c1_11723,1,39.3
c1_13869,1,50.1
c1_15634,1,50.3
c1_15927,1,50.5
c1_16875,1,55.5
c1_18433,1,63.1
c1_20384,1,69.2
c1_22181,1,72.9
c1_23381,1,77.5
c1_24795,1,83.7
c1_25698,1,88.7
c1_28454,1,97
c1_29898,1,104
c2_00593,2,0
c2_02365,2,11.9
c2_04263,2,12.6
c2_06655,2,17.4
c2_07650,2,23.3
c2_10250,2,33.6
c2_11457,2,37.1
c2_12435,2,43.6
c2_13472,2,47.7
c2_15252,2,52.3
c2_16837,2,58.5
c2_18753,2,66.7
c3_00885,3,0
c3_01901,3,3
c3_02968,3,6.8
c3_04141,3,10.4
c3_05141,3,13.8
c3_07673,3,21.9
c3_09056,3,32.4
c3_11208,3,43
c3_12647,3,46.4
c3_14097,3,46.6
c3_15117,3,47.7
c3_17651,3,55.1
c3_20729,3,67.5
c3_22147,3,70.2
c4_00012,4,0
c4_02133,4,11.3
c4_03833,4,11.5
c4_04877,4,11.7
c4_05850,4,19.2
c4_06923,4,26.7
c4_07549,4,31.3
c4_08930,4,38.6
c4_11878,4,51.6
c4_13171,4,56.1
c4_14819,4,60.9
c4_17684,4,68.8
c5_00576,5,0
c5_01587,5,7
c5_02900,5,11
c5_04011,5,15.6
c5_05319,5,19.1
c5_06820,5,25.5
c5_08563,5,33.3
c5_10428,5,45.7
c5_13614,5,49
c5_14766,5,54.8
c5_17570,5,64.4
c5_19316,5,73.2
c5_20318,5,77.1
c5_21319,5,82.8
c5_22415,5,85.9
c5_23116,5,87.5
c5_24997,5,95.1
c5_26671,5,101
