Marker,Chr,Position
c1_00593,1,0
c1_02212,1,5.8
c1_02992,1,10.7
c1_04176,1,17.7
c1_05593,1,24.4
c1_08385,1,37.3
c1_09782,1,41.6
c1_11160,1,48.9
c1_12295,1,54.2
c1_13869,1,64.5
c1_13926,1,64.5
c1_15634,1,65.4
c1_16875,1,71.7
c1_18433,1,82
c1_19478,1,85.6
c1_20384,1,89
c1_22181,1,92.3
c1_23381,1,97
c1_24795,1,105.9
c1_25698,1,111.7
c1_26993,1,122.6
c1_28454,1,129.4
c1_28667,1,130.4
c1_29898,1,137.9
c2_00593,2,0
c2_02365,2,13.8
c2_03041,2,16.9
c2_04263,2,17.7
c2_06280,2,25.9
c2_07650,2,34.6
c2_10250,2,44.4
c2_11457,2,48.8
c2_12435,2,54.7
c2_13472,2,61.6
c2_15252,2,68.5
c2_16837,2,77.2
c2_17606,2,79.9
c2_18753,2,86.7
c3_00580,3,0
c3_00885,3,1.1
c3_01901,3,4.5
c3_02968,3,8.3
c3_04141,3,14.6
c3_05141,3,18.7
c3_06631,3,24
c3_08042,3,30.2
c3_09748,3,39.9
c3_10996,3,48.4
c3_11192,3,49.8
c3_12647,3,55.7
c3_15117,3,57.6
c3_16677,3,68.4
c3_18180,3,75.6
c3_20729,3,85.9
c3_22147,3,90.3
c4_00012,4,0
c4_00641,4,6.3
c4_02133,4,16.2
c4_03833,4,16.4
c4_04877,4,18.9
c4_05850,4,28.4
c4_06923,4,35.8
c4_07549,4,39.3
c4_07740,4,39.8
c4_08930,4,43.7
c4_10609,4,51.1
c4_11878,4,56.6
c4_13171,4,62.5
c4_14819,4,68.6
c4_15765,4,71.9
c4_17684,4,80.9
c5_00576,5,0
c5_01587,5,5.4
c5_02900,5,12.1
c5_04011,5,17.9
c5_05319,5,22.6
c5_06820,5,28.4
c5_07442,5,31.5
c5_08563,5,35.2
c5_10428,5,48.1
c5_13614,5,53.1
c5_14766,5,58.3
c5_17570,5,70
c5_19316,5,77.5
c5_20318,5,81.4
c5_21319,5,84.9
c5_22415,5,91.4
c5_23116,5,96.3
c5_24997,5,106.3
c5_26671,5,112.6
